300688,387
300689,26.92
300690,388
300691,24.55
300692,389
300693,21.63
300694,390
300695,24.70
300696,391
300697,16.83
300698,392
300699,15.24
300700,393
300701,17.19
300702,394
300703,6.59
300705,395
300706,13.01
300707,396
300708,16.18
300709,397
300710,19.24
300711,398
300712,9.39
300713,399
300715,27.68
300716,400
300717,14.10
300718,401
300719,9.92
300720,402
300721,12.89
300722,403
300723,11.25
300724,404
300725,66.60
300726,405
300727,14.76
300729,406
300730,13.43
300731,407
300732,26.90
300733,408
300735,19.04
300736,409
300737,28.44
300738,410
300739,7.95
300740,411
300741,7.30
300742,412
300743,8.02
300745,413
300746,12.90
300747,414
300748,17.04
300749,415
300750,17.25
300751,416
300752,5.58
300753,417
300755,8.99
300756,418
300757,27.00
300758,419
300759,16.44
300760,420
300761,18.81
300762,421
300763,8.91
300765,422
300766,0.00
300767,423
300768,11.09
300769,424
300770,34.31
300771,425
300772,9.64
300773,426
300775,15.73
300776,427
300777,33.51
300778,428
300779,12.25
300780,429
300781,18.56
300782,430
300783,18.81
300785,431
300786,10.03
300787,432
300788,9.63
300789,433
300790,27.47
300791,434
300792,435
300793,436
300795,16.76
300796,437
300797,8.10
300798,438
300799,439
300800,10.94
300801,440
300802,12.86
300803,441
300805,47.54
300806,442
300807,15.56
300808,443
300809,26.26
300810,444
300811,16.34
300812,445
300813,204.11
300815,446
300816,16.35
300817,447
300818,30.49
300819,448
300820,29.16
300821,449
300822,35.23
300823,450
300824,5.02
300825,451
300826,13.42
300827,452
300828,21.41
300829,453
300830,26.12
300831,454
300832,49.00
300833,455
300835,19.57
300836,456
300837,17.05
300838,457
300839,7.90
300840,458
300841,18.17
300842,459
300843,23.45
300845,460
300846,13.37
300847,461
300848,43.48
300849,462
300850,14.04
300851,463
300852,11.23
300853,464
300855,28.96
300856,465
300857,69.85
300858,466
300859,13.41
300860,467
300861,20.96
300862,468
300863,7.88
300864,469
300865,12.82
300866,470
300867,17.22
300868,471
300869,20.09
300870,472
300871,22.44
300872,473
300873,87.01
300875,474
300876,38.26
300877,475
300878,14.53
300879,476
300880,16.75
300881,477
300882,19.30
300883,478
300885,57.10
300886,479
300887,18.63
300888,480
300889,41.40
300890,481
300891,9.86
