300001,18.65
300002,6.17
300003,33.43
300004,8.19
300005,6.44
300006,7.16
300007,18.05
300008,8.55
300009,16.23
300010,19.09
300011,7.25
300012,23.82
300013,7.83
300014,49.40
300015,47.70
300016,12.56
300017,8.99
300018,6.82
300019,15.45
300020,12.97
300021,5.87
300022,6.57
300023,10.69
300024,15.71
300025,5.25
300026,5.72
300027,5.52
300029,5.06
300030,12.67
300031,22.73
300032,4.99
300033,162.10
300034,23.30
300035,9.91
300036,21.55
300037,60.20
300038,9.34
300039,5.94
300040,8.48
300041,14.30
300042,20.50
300043,4.48
300044,8.33
300045,14.09
300046,23.41
300047,9.02
300048,5.28
300049,10.68
300050,6.53
300051,7.25
300052,12.41
300053,12.81
300054,16.61
300055,7.69
300056,10.07
300057,6.48
300058,8.22
300059,25.00
300061,6.17
300062,7.17
300063,7.78
300064,0.00
300065,15.49
300066,5.90
300067,5.58
300068,16.00
300069,16.81
300070,9.55
300071,3.58
300072,6.49
300073,42.40
300074,5.27
300075,14.46
300076,6.00
300077,9.47
300078,12.26
300079,5.55
300080,5.91
300081,8.99
300082,9.57
300083,10.62
300084,4.95
300085,25.10
300086,6.85
300087,19.30
300088,10.86
300089,5.31
300091,5.97
300092,12.11
300093,11.98
300094,5.06
300095,13.32
300096,11.48
300097,13.32
300098,5.81
300099,8.97
300100,14.00
300101,16.38
300102,10.42
300103,100
300105,13.16
300106,101
300107,5.25
300108,102
300109,14.17
300110,103
300111,7.49
300112,104
300113,4.40
300114,105
300115,18.20
300116,106
300117,5.60
300118,107
300119,4.09
300120,108
300121,9.83
300122,109
300123,19.82
300124,110
300125,14.92
300126,111
300127,25.13
300128,112
300129,3.66
300130,113
300131,3.79
300132,114
300133,16.59
300134,115
300135,19.84
300136,116
300137,16.14
300138,117
300139,9.94
300140,118
300141,124.00
300142,119
300143,15.79
300144,120
300145,55.45
300146,121
300147,12.63
300148,122
300149,7.56
300150,123
300151,20.23
300152,124
300153,5.68
300154,125
300155,7.02
300157,126
300158,15.95
300159,127
300160,7.12
300161,128
300162,23.58
300163,129
300164,8.47
